nama_kelurahan,nama_tempat,type_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat
Lenteng Agung,Bakso Bakar Dame,restaurant,5,9,-6.325088999999999,106.833563,"Gang Haji Meran Blok Waspada No.2, RT.10/RW.5, Lenteng Agung"
Lenteng Agung,Sabana Geprek Fried Chiken Gg.Waru,restaurant,0,0,-6.3247762,106.8342415,"Gang Waru No.10, RT.13/RW.5, Kebagusan"
Lenteng Agung,Sate Padang Saiyo Baru Padang Panjang,restaurant,3.7,3,-6.3263644,106.8340524,"Jalan Raya Lenteng Agung No.8-15, RT.10/RW.4, Lenteng Agung"
Lenteng Agung,WARUNG SAHRUL,restaurant,4.3,13,-6.326407,106.834212,"Jalan Jakaria No.25A, RT.2/RW.3, Lenteng Agung"
Lenteng Agung,Warkop Kangii,restaurant,0,0,-6.3246195,106.8338552,"Jalan Lenteng Agung RT.13/RW.5, Lenteng Agung"
Lenteng Agung,Soto Lamongan Boby Junior (Mbak Susi),restaurant,0,0,-6.324726500000001,106.8346687,"Jalan Raya Lenteng Agung No.12A, RT.2/RW.8, Lenteng Agung"
Lenteng Agung,Gado Gado Po Yani,restaurant,0,0,-6.3246026,106.8338368,"rw 05, Jalan Lenteng Agung Raya No.26 rt 13, RT.5/RW.1, Lenteng Agung"
Lenteng Agung,Kedai mak piah,restaurant,5,1,-6.325755200000001,106.8331632,"RT.7/RW.5, no.40, RT.7/RW.5, Lenteng Agung"
Lenteng Agung,Resto Ayam Gepuk pak Gembus lenteng Agung,restaurant,5,1,-6.324676599999999,106.834712,"Jalan Raya Lenteng Agung No.12, RT.3/RW.3"
Lenteng Agung,RAINBOW Steak & Shake,restaurant,4.2,136,-6.324592899999999,106.8346193,"Jalan Raya Lenteng Agung No.8, RT.3/RW.3, Lenteng Agung"
Lenteng Agung,Sushi Daun,restaurant,0,0,-6.326312700000001,106.8349298,"Jakarta Selatan, RT.2/RW.3, Lenteng Agung"
Lenteng Agung,Dapur Susi,restaurant,4.5,2,-6.3247768,106.8332464,"Gg. H. Meran Blok, Gang Haji Sa'atun No.23a, RT.11/RW.5, Lenteng Agung"
Lenteng Agung,Sushi Daun,restaurant,0,0,-6.326228100000001,106.8350881,"Jakarta Selatan, RT.2/RW.3, Lenteng Agung"
Lenteng Agung,Warung Sate Solo Pak Soleh,restaurant,5,3,-6.326711599999999,106.8338934,"Jalan Raya Lenteng Agung RT.1/RW.3, Lenteng Agung"
Lenteng Agung,Husein nur,restaurant,5,1,-6.3244286,106.8347501,"Jalan Raya Lenteng Agung No.9, RT.3/RW.3, Lenteng Agung"
Lenteng Agung,Bakmie Ayam Tukul,restaurant,5,1,-6.3262705,106.8330731,"Gang Haji Meran No.33, RT.7/RW.5, Lenteng Agung"
Lenteng Agung,Kedai Bang Ujang,restaurant,5,3,-6.326526099999999,106.834977,"1, Jalan H. Zakaria Blok Haji Zakaria No.90, RT.1/RW.3, Lenteng Agung"
Lenteng Agung,Kedai Hanata,restaurant,5,6,-6.3268226,106.8343052,"Jalan H. Zakaria No.23, RT.1/RW.3, Lenteng Agung"
Lenteng Agung,Sosis Bakar Zammi,restaurant,0,0,-6.3268399,106.8341671,"Jalan Raya Lenteng Agung No.17, RT.1/RW.3, Lenteng Agung"
Lenteng Agung,Nasi Goreng 7 Rasa,restaurant,0,0,-6.3244191,106.8349495,"Jalan Raya Lenteng Agung No.9, RT.3/RW.3, Lenteng Agung"
Lenteng Agung,Mie Ayam Bakso P.L.O,restaurant,4.5,209,-6.3243499,106.8349234,"Jalan Agung Raya I No. 3 B, Jagakarsa, RT.3/RW.3, Lenteng Agung"
Lenteng Agung,Bakso Unyil 02 cabang kampus iisip,restaurant,0,0,-6.3249785,106.8327936,"Gang Haji Sa'atun No.42, RT.11/RW.5, Lenteng Agung"
Lenteng Agung,Nasi uduk ketupat sayur Bu dahlia,restaurant,0,0,-6.325117199999999,106.8327258,"Jalan Lenteng Agung Raya Gang Haji Sa'atun RT.11/RW.5, Lenteng Agung"
Lenteng Agung,Mie ayam seblak wawah,restaurant,5,2,-6.3266293,106.8350978,"Jalan H. Zakaria No.83, RT.1/RW.3, Lenteng Agung"
Lenteng Agung,Outentikibun,restaurant,0,0,-6.324104699999999,106.8336849,"Gang Waspada I No.13, RT.11/RW.5, Lenteng Agung"
Lenteng Agung,11PM LENTENG AGUNG,restaurant,0,0,-6.326459900000001,106.8353151,"Jl. H. Zakaria III Rt.001/Rw.003 No.101, RT.1/RW.3, Lenteng Agung"
Lenteng Agung,Pecel Lele Portugal,restaurant,4.7,12,-6.324291300000001,106.8350421,"RT.3/RW.3, Lenteng Agung"
Lenteng Agung,WARKOP 98 LENTAG...,restaurant,5,1,-6.3239964,106.8342958,"Jalan Lenteng Agung Raya RT.13/RW.5, Lenteng Agung"
Lenteng Agung,WARKOP PANTAS,cafe,4.4,34,-6.3251272,106.8385209,"Jalan Lontar No.45, RT.8/RW.3, Lenteng Agung"
Lenteng Agung,Selter Grab Anak Kodok,cafe,5,1,-6.3309517,106.8331213,"Jalan Raya Jagakarsa RT.6/RW.6, Jagakarsa"
Lenteng Agung,WarNer - Waroeng Container LA,cafe,4.4,85,-6.3270659,106.8401526,"Jalan Agung Raya II Gg. H. Saibi II No.103, RT.1/RW.4, Lenteng Agung"
Lenteng Agung,Kelapa Hijau 99,cafe,4.7,24,-6.326436999999999,106.8259323,"Jalan Kelapa Hijau No.99, RT.11/RW.3, Jagakarsa"
Lenteng Agung,Seblak Smaput 12,cafe,4.5,36,-6.3336925,106.8332855,"Jalan Moch. Kahfi II No.24, RT.2/RW.1, Srengseng Sawah"
Lenteng Agung,Epikurian Unbreakable Coffee & Roastery,cafe,4.5,55,-6.3226584,106.8260257,"Jalan H. Abdul Karim No.24, RT.3/RW.3, Jagakarsa"
Lenteng Agung,Daddys Takoyaki PGC,cafe,4.9,8,-6.3180285,106.8285295,"Villa 22, RT.8/RW.11, Kebagusan"
Lenteng Agung,Rumah Regita Cahyani,cafe,2.5,2,-6.3156081,106.8337121,"RT.5/RW.8, Kebagusan"
Lenteng Agung,Shisha88 Kebagusan,cafe,3.8,4,-6.322930099999999,106.8244724,"No., Jalan Kebagusan Raya No.25, RT.13/RW.5, Jagakarsa"
Lenteng Agung,Warkop Bubur Kacang Ijo,cafe,3.7,3,-6.3337387,106.8279523,"Jalan Jeruk Raya RT.11/RW.1, Jagakarsa"
Lenteng Agung,Kopiman,cafe,4.6,8,-6.3360775,106.8345103,"Jalan Raya Lenteng Agung No.6, RT.5/RW.10, Srengseng Sawah"
Lenteng Agung,Studio Donat,cafe,4.5,11,-6.3308247,106.8244889,"RT14RW01 Jalan Rambutan no, RT.9/RW.7, Jagakarsa"
Lenteng Agung,Dhilovta Pitza,cafe,5,4,-6.318373500000001,106.8238858,"Blok Mangga, Jalan Mangga I Mangga No.38B, RT.10/RW.5, Jagakarsa"
Lenteng Agung,Tourism Industry (Hotel specialist),cafe,3,2,-6.336611500000001,106.8421218,"Jalan Radar Baru D No.3, RW.2, Kalisari"
Lenteng Agung,Saung TRIBUANA V,cafe,4.2,117,-6.3216607,106.8483298,"Jalan RA. Fadillah No.22, RT.6/RW.4, Baru"
Lenteng Agung,Kebab Arjuna,cafe,4.7,47,-6.3133702,106.8255757,"Gang Buntu Jalan Kebagusan Raya No.36, RT.6/RW.5, Kebagusan"
Lenteng Agung,MAKARONI SUE,cafe,4.8,5,-6.309411099999999,106.8270551,"Jalan Kebagusan Raya RT.9/RW.7, Kebagusan"
Lenteng Agung,Apriadi,cafe,0,0,-6.3254636,106.8342536,"Jalan Lontar RT.5/RW.3, Lenteng Agung"
Lenteng Agung,WARMINDO SARWADI,cafe,4.7,3,-6.325389899999999,106.8342569,"Jalan Agung Raya 1 Rt 03 Rw 03 Pangkalan Ojek Kelurahan Lenteng Agung, Jagakarsa, RT.3/RW.3, Lenteng Agung"
Lenteng Agung,Bale Coffee,cafe,4.4,17,-6.325316900000002,106.8342541,"Jalan Raya Lenteng Agung No.216, RT.3/RW.3, Lenteng Agung"
Lenteng Agung,Warkop Mother's Prayer,cafe,0,0,-6.3257807,106.8337497,"Jalan Raya Lenteng Agung Blok Senyem No.27, RT.2/RW.3, Lenteng Agung"
Lenteng Agung,FRESH JUICE 2020,cafe,0,0,-6.325917400000001,106.8348518,"Jalan Lontar No.38, RT.2/RW.3, Lenteng Agung"
Lenteng Agung,Kini Cheese Tea & Warung Pintar,cafe,5,1,-6.3252381,106.8351648,"Jalan Lontar No.26, RT.3/RW.3, Lenteng Agung"
Lenteng Agung,Warung seblak yamin,cafe,0,0,-6.325602399999999,106.832833,"Gang Haji Meran No.9, RT.10/RW.5, Lenteng Agung"
Lenteng Agung,Warkop Reza,cafe,0,0,-6.324440800000001,106.8348718,"Jalan Raya Lenteng Agung No.3 C, RT.3/RW.3, Lenteng Agung"
Lenteng Agung,Aqilla Snack & Ice,cafe,5,1,-6.3243749,106.8334836,"Gang Waspada I RT.11/RW.5, Lenteng Agung"
Lenteng Agung,Edy,cafe,0,0,-6.3243204,106.8349518,"Jalan Agung Raya 1 Rt 03 Rw 03 No 3C Kelurahan Lenteng Agung Jagakarsa, RT.3, RT.3/RW.3, Lenteng Agung"
Lenteng Agung,Thai tea Nyot nyot jalan agung raya I,cafe,0,0,-6.324468299999999,106.8353328,"Jalan Agung Raya I No.43, RT.3/RW.3, Lenteng Agung"
Lenteng Agung,Warung Pojok 16,cafe,5,3,-6.327129999999999,106.8343301,"Gang Haji Joko No.16, RT.1/RW.3, Lenteng Agung"
Lenteng Agung,Starbuka thai tea,cafe,5,4,-6.3260651,106.8325482,"Gang Haji Meran No.24, RT.9/RW.5, Lenteng Agung"
Lenteng Agung,Warkop 21,cafe,5,4,-6.323798099999999,106.8339371,"Gang Waspada I RT.14/RW.5, Lenteng Agung"
Lenteng Agung,warkop 21 tercintah,cafe,5,1,-6.323744799999999,106.8340487,"Blok Waspada 1, Jalan Lenteng Agung Blok Waspada 1 No.20A, RT.11/RW.5, Lenteng Agung"
Lenteng Agung,Corndog Kuy,cafe,4.7,12,-6.327022200000001,106.833172,"Jalan Lenteng Agung Gang Waspada I RT.11/RW.5, Lenteng Agung"
Lenteng Agung,Warkop Angsana,cafe,0,0,-6.3252997,106.8359925,"Jalan Lontar No.7, RT.5/RW.3, Lenteng Agung"
Lenteng Agung,Kedae Athor,cafe,5,2,-6.3273855,106.8343074,"Gg. H. Joko, RT 01/03.no.15, RT.1/RW.3, Lenteng Agung"
Lenteng Agung,Cafetra,cafe,0,0,-6.3270972,106.8353231,"Gang Haji Meran No.141, RT.6/RW.3, Lenteng Agung"
Lenteng Agung,WARKOP BERKAH,cafe,4.4,78,-6.327312999999999,106.833188,"Jalan Lenteng Agung Raya Gang H. Ali No.5, RT.5/RW.5, Lenteng Agung"
Lenteng Agung,Gi-Rang Coffee,cafe,0,0,-6.3272184,106.83297,"Jl. Raya Gang H. Ali No.16, RT.7/RW.5, Lenteng Agung"
Lenteng Agung,WARKOP KAMEUMEUT,cafe,0,0,-6.323479,106.834634,"Jalan Raya Lenteng Agung Gang Waspada 1 Rt 05 Rw 014 No 9 Lenteng Agung, Jagakars, RT.11/RW.5, Lenteng Agung"
Lenteng Agung,Donat Bu Ajat,cafe,5,4,-6.324864499999999,106.8320239,"Gang Haji Sa'atun No.30, RT.12/RW.5, Lenteng Agung"
Lenteng Agung,Cafe Bang Iyus,cafe,4.5,17,-6.327706000000001,106.8344918,"Gang Haji Joko RT.1/RW.3, Lenteng Agung"
Lenteng Agung,Booster Lenteng Agung,cafe,5,4,-6.326463899999999,106.8362028,"Zakaria, Gang Haji Meran No.118, RT.1/RW.3, Lenteng Agung"
Lenteng Agung,Warung mpo Yanah,cafe,5,1,-6.3233003,106.8335122,"Jl. Lenteng Agung Blok, Gang Waspada I No.50, RT.14/RW.5, Lenteng Agung"
Lenteng Agung,Dapurdewi19,cafe,5,2,-6.327150800000001,106.8324555,"RT.8/RW.5, Lenteng Agung"
Lenteng Agung,Pesona Coffee LA,cafe,0,0,-6.3232427,106.8347226,"Jalan Raya Lenteng Agung No.14, RT.10/RW.04, Lenteng Agung"
Lenteng Agung,Warkop Jantuk Galunggung,cafe,4.8,10,-6.326336799999999,106.8364992,"Jalan H. Zakaria Blok Ujung No.29, RT.7/RW.3, Lenteng Agung"
Lenteng Agung,WARUNG KEMBAR 212,cafe,5,1,-6.326099999999999,106.83663,"Jl. H. Zakaria Blok Zakariaya No.36, RT.5/RW.3, Lenteng Agung"
Lenteng Agung,Waroeng Mamah Rysma,cafe,0,0,-6.327413399999999,106.8322416,"Jalan Lenteng Agung Raya Gang H. Ali No.Blok, RT.5/RW.5, Lenteng Agung"
Lenteng Agung,Cafe Pak Iyus,cafe,3.7,10,-6.3273231,106.8361268,"Gang Haji Joko RT.6/RW.3, Lenteng Agung"
Lenteng Agung,Cafe ngemil,cafe,5,1,-6.3279796,106.8327349,"Gang Haji Meran Blok Mesjid No.37, RT.5/RW.5, Lenteng Agung"
Lenteng Agung,kedai al faqih,cafe,0,0,-6.3226125,106.8345499,"Jalan Lenteng Agung Raya RT.11/RW.5, Lenteng Agung"
Lenteng Agung,Rumah Bang Ganteng,cafe,5,1,-6.322577099999999,106.8341764,"Gang Kampus No.25, RT.11/RW.1, Lenteng Agung"
Lenteng Agung,Warkop angsana,cafe,4.2,5,-6.325707599999999,106.8371845,"Jl. Lontar Blok Kariaya No.7, RT.8/RW.3, Lenteng Agung"
Lenteng Agung,KAMPUNG IISIP,cafe,5,1,-6.322445900000001,106.8346224,"MRHM+2RH, RT.8/RW.1, Lenteng Agung"
Lenteng Agung,warkop sari rasa(bp ade*bp aceng),cafe,4,4,-6.3225976,106.8352188,"No., Jalan Raya Lenteng Agung No.217, RT.8/RW.1, Lenteng Agung"
Lenteng Agung,KAMPUNG ANAK SWIIS,cafe,5,5,-6.3224049,106.8345211,"Jalan Lenteng Agung Blok Mushola No.32, RT.12/RW.1, Lenteng Agung"
Lenteng Agung,Hallu.in,cafe,4.8,6,-6.322479299999999,106.8352837,"Jalan Lenteng Agung Raya No.3 B, RT.8/RW.1, Lenteng Agung"
Lenteng Agung,Kedai isip,cafe,4.5,6,-6.322268,106.834906,"Jalan Lenteng Agung Mushola No.20, RT.8/RW.1, Lenteng Agung"
Lenteng Agung,CIKA CIKA,cafe,4.9,13,-6.3239844,106.8371584,"RT.9/RW.3, Lenteng Agung"
Lenteng Agung,Oncom Cafe,cafe,5,1,-6.3272178,106.8370779,"Jl. Raya Lenteng Agung Blok, Gang Haji Joko No.28, RT.7/RW.3, Lenteng Agung"
